[2026-08-16T04:48:21.686Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-08-16T04:48:24.810Z] GET http://localhost:3000/_next/static/media/01e4147cff8141ee-s.p.3huc2loe0ie8a.woff2 → pending (?ms, ?B)
[2026-08-16T04:48:24.815Z] GET http://localhost:3000/_next/static/media/8c2eb9ceedecfc8e-s.p.23aeddxv5enbo.woff2 → pending (?ms, ?B)
[2026-08-16T04:48:24.816Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0jbbvn2._.css → pending (?ms, ?B)
[2026-08-16T04:48:24.820Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → pending (?ms, ?B)
[2026-08-16T04:48:24.820Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → pending (?ms, ?B)
[2026-08-16T04:48:24.820Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → pending (?ms, ?B)
[2026-08-16T04:48:24.820Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.711Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.727Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.728Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.729Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.729Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → pending (?ms, ?B)
[2026-08-16T04:48:26.729Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → pending (?ms, ?B)
[2026-08-16T04:48:27.768Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_20wefz_._.js → pending (?ms, ?B)
[2026-08-16T04:48:27.768Z] GET http://localhost:3000/_next/static/chunks/src_04j61u3._.js → pending (?ms, ?B)
[2026-08-16T04:48:27.768Z] GET http://localhost:3000/_next/static/chunks/node_modules_1-ionkk._.js → pending (?ms, ?B)
[2026-08-16T04:48:30.592Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → pending (?ms, ?B)
[2026-08-16T04:48:35.100Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → pending (?ms, ?B)
[2026-08-16T04:52:14.576Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → pending (?ms, ?B)
[2026-08-16T05:00:05.975Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-16T05:00:06.621Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-08-16T05:00:06.648Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-08-16T05:00:07.475Z] GET http://localhost:3000/_next/static/chunks/src_1t2z_q7._.js → pending (?ms, ?B)
[2026-08-16T05:00:07.476Z] GET http://localhost:3000/_next/static/chunks/node_modules_0zrx-d5._.js → pending (?ms, ?B)
[2026-08-16T05:00:08.100Z] GET http://localhost:3000/_next/static/media/01e4147cff8141ee-s.p.3huc2loe0ie8a.woff2 → 200 (?ms, ?B)
[2026-08-16T05:00:08.120Z] GET http://localhost:3000/_next/static/media/8c2eb9ceedecfc8e-s.p.23aeddxv5enbo.woff2 → 200 (?ms, ?B)
[2026-08-16T05:00:08.120Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0jbbvn2._.css → 200 (7ms, 52443B)
[2026-08-16T05:00:08.120Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (57ms, 594B)
[2026-08-16T05:00:08.120Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (59ms, 864178B)
[2026-08-16T05:00:08.120Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (62ms, 1062157B)
[2026-08-16T05:00:08.122Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (57ms, 176854B)
[2026-08-16T05:00:08.123Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (56ms, 144344B)
[2026-08-16T05:00:08.123Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (77ms, 899685B)
[2026-08-16T05:00:08.123Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (59ms, 159374B)
[2026-08-16T05:00:08.123Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (56ms, 1984B)
[2026-08-16T05:00:08.124Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (58ms, 834B)
[2026-08-16T05:00:08.124Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (61ms, 105168B)
[2026-08-16T05:00:08.126Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → 200 (58ms, 388B)
[2026-08-16T05:00:08.126Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_20wefz_._.js → 200 (60ms, 70692B)
[2026-08-16T05:00:08.126Z] GET http://localhost:3000/_next/static/chunks/src_1t2z_q7._.js → 200 (74ms, 344298B)
[2026-08-16T05:00:08.126Z] GET http://localhost:3000/_next/static/chunks/node_modules_0zrx-d5._.js → 200 (74ms, 868811B)
[2026-08-16T05:00:08.276Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (107ms, 15615B)
[2026-08-16T05:00:08.439Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-08-16T05:00:08.439Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (1ms, ?B)
[2026-08-16T05:00:27.911Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0jbbvn2._.css → 200 (140ms, 52353B)
[2026-08-16T05:00:41.657Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-16T05:02:14.549Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (414ms, 6266B)
[2026-08-16T05:02:26.463Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (53ms, 6266B)
